dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,Cases,Deaths
2020-02-29,29,2,2020,428,47,China,CN,CHN,1392730000.0,79355,2837
2020-03-01,1,3,2020,574,35,China,CN,CHN,1392730000.0,79929,2872
2020-03-02,2,3,2020,205,42,China,CN,CHN,1392730000.0,80134,2914
2020-03-03,3,3,2020,127,32,China,CN,CHN,1392730000.0,80261,2946
2020-03-04,4,3,2020,119,37,China,CN,CHN,1392730000.0,80380,2983
2020-03-05,5,3,2020,117,31,China,CN,CHN,1392730000.0,80497,3014
2020-03-06,6,3,2020,170,30,China,CN,CHN,1392730000.0,80667,3044
2020-03-07,7,3,2020,101,28,China,CN,CHN,1392730000.0,80768,3072
2020-03-08,8,3,2020,46,27,China,CN,CHN,1392730000.0,80814,3099
2020-03-09,9,3,2020,45,23,China,CN,CHN,1392730000.0,80859,3122
2020-03-10,10,3,2020,20,17,China,CN,CHN,1392730000.0,80879,3139
2020-03-11,11,3,2020,29,22,China,CN,CHN,1392730000.0,80908,3161
2020-03-12,12,3,2020,24,11,China,CN,CHN,1392730000.0,80932,3172
2020-03-13,13,3,2020,22,7,China,CN,CHN,1392730000.0,80954,3179
2020-03-14,14,3,2020,19,15,China,CN,CHN,1392730000.0,80973,3194
2020-03-15,15,3,2020,22,9,China,CN,CHN,1392730000.0,80995,3203
2020-03-16,16,3,2020,25,13,China,CN,CHN,1392730000.0,81020,3216
2020-03-17,17,3,2020,43,9,China,CN,CHN,1392730000.0,81063,3225
2020-03-18,18,3,2020,23,16,China,CN,CHN,1392730000.0,81086,3241
2020-03-19,19,3,2020,44,8,China,CN,CHN,1392730000.0,81130,3249
2020-03-20,20,3,2020,99,4,China,CN,CHN,1392730000.0,81229,3253
2020-03-21,21,3,2020,52,6,China,CN,CHN,1392730000.0,81281,3259
2020-03-22,22,3,2020,65,6,China,CN,CHN,1392730000.0,81346,3265
2020-03-23,23,3,2020,138,9,China,CN,CHN,1392730000.0,81484,3274
2020-03-24,24,3,2020,69,7,China,CN,CHN,1392730000.0,81553,3281
2020-03-25,25,3,2020,78,4,China,CN,CHN,1392730000.0,81631,3285
2020-03-26,26,3,2020,102,6,China,CN,CHN,1392730000.0,81733,3291
2020-03-27,27,3,2020,94,5,China,CN,CHN,1392730000.0,81827,3296
2020-03-28,28,3,2020,119,3,China,CN,CHN,1392730000.0,81946,3299
2020-03-29,29,3,2020,113,5,China,CN,CHN,1392730000.0,82059,3304
2020-03-30,30,3,2020,98,2,China,CN,CHN,1392730000.0,82157,3306
2020-03-31,31,3,2020,84,3,China,CN,CHN,1392730000.0,82241,3309
2020-02-29,29,2,2020,19,0,France,FR,FRA,66987244.0,57,2
2020-03-01,1,3,2020,43,0,France,FR,FRA,66987244.0,100,2
2020-03-02,2,3,2020,30,0,France,FR,FRA,66987244.0,130,2
2020-03-03,3,3,2020,48,1,France,FR,FRA,66987244.0,178,3
2020-03-04,4,3,2020,34,1,France,FR,FRA,66987244.0,212,4
2020-03-05,5,3,2020,73,0,France,FR,FRA,66987244.0,285,4
2020-03-06,6,3,2020,138,3,France,FR,FRA,66987244.0,423,7
2020-03-07,7,3,2020,190,2,France,FR,FRA,66987244.0,613,9
2020-03-08,8,3,2020,103,1,France,FR,FRA,66987244.0,716,10
2020-03-09,9,3,2020,410,9,France,FR,FRA,66987244.0,1126,19
2020-03-10,10,3,2020,286,11,France,FR,FRA,66987244.0,1412,30
2020-03-11,11,3,2020,372,3,France,FR,FRA,66987244.0,1784,33
2020-03-12,12,3,2020,497,15,France,FR,FRA,66987244.0,2281,48
2020-03-13,13,3,2020,595,13,France,FR,FRA,66987244.0,2876,61
2020-03-14,14,3,2020,785,18,France,FR,FRA,66987244.0,3661,79
2020-03-15,15,3,2020,838,12,France,FR,FRA,66987244.0,4499,91
