Id,title,abstract_processed,authors
1408,"Clinical findings in a group of patients infected with the 2019 novel coronavirus (SARS-Cov-2) outside of Wuhan, China: retrospective case series","abstractobjective to study the clinical characteristics of patients in zhejiang province, china, infected with the 2019 severe acute respiratory syndrome coronavirus 2 (sars-cov-2) responsible for coronavirus disease 2019 (covid-2019). design retrospective case series. setting seven hospitals in zhejiang province, china. participants 62 patients admitted to hospital with laboratory confirmed sars-cov-2 infection.","Xiao-Wei Xu, Xiao-Xin Wu, Xian-Gao Jiang, Kai-Jin Xu, Ling-Jun Ying, Chun-Lian Ma, Shi-Bo Li, Hua-Ying Wang, Sheng Zhang, Hai-Nv Gao, Ji-Fang Sheng, Hong-Liu Cai, Yun-Qing Qiu, Lan-Juan Li"
1020,Rapid colorimetric detection of COVID-19 coronavirus using a reverse tran- scriptional loop-mediated isothermal amplification (RT-LAMP) diagnostic plat- form: iLACO,"abstractthe recent outbreak of a novel coronavirus sars-cov-2 (also known as 2019-ncov) threatens global health, given serious cause for concern. sars-cov-2 is a human-to-human pathogen that caused fever, severe respiratory disease and pneumonia (known as covid-19). by press time, more than 70,000 infected people had been confirmed worldwide. sars-cov-2 is very similar to the severe acute respiratory syndrome (sars) coronavirus broke out 17 years ago. however, it has increased transmissibility as compared with the sars-cov, e.g. very often infected individuals without any symptoms could still transfer the virus to others. it is thus urgent to develop a rapid, accurate and onsite diagnosis methods in order to effectively identify these early infects, treat them on time and control the disease spreading. here we developed an isothermal lamp based method-ilaco (isothermal lamp based method for covid-19) to amplify a fragment of the orf1ab gene using 6 primers. we assured the species-specificity of ilaco by comparing the sequences of 11 related viruses by blast (including 7 similar coronaviruses, 2 influenza viruses and 2 normal coronaviruses). the sensitivity is comparable to taqman based qpcr detection method, detecting synthesized rna equivalent to 10 copies of 2019-ncov virus. reaction time varied from 15-40 minutes, depending on the loading of virus in the collected samples. the accuracy, simplicity and versatility of the new developed method suggests that ilaco assays can be conveniently applied with for 2019-ncov threat control, even in those cases where specialized molecular biology equipment is not available.","Lin Yu, Shanshan Wu, Xiaowen Hao, Xuelong Li, Xiyang Liu, Shenglong Ye, Heng Han, Xue Dong, Xin Li, Jiyao Li, Na Liu, Jianmin Liu, Wanzhong Zhang, Vicent Pelechano, Wei-Hua Chen, Xiushan Yin"
36,"Title Page: 1 Reverse transcription loop-mediated isothermal amplification combined with 2 nanoparticles-based biosensor for diagnosis of COVID-19 3 4 Laboratory of Pediatric Respiratory Infection Disease, National Clinical Research","abstractabstrct 29 given the scale and rapid spread of severe acute respiratory syndrome coronavirus 2 30 (sars-cov-2, known as 2019-ncov) infection , the ongoing global 31 sars-cov-2 outbreak has become a huge public health issue. rapid and precise 32 diagnostic methods are thus immediately needed for diagnosing covid-19, 33 providing timely treatment and facilitating infection control. a one-step reverse 34 transcription loop-mediated isothermal amplification (rt-lamp) coupled with 35 nanoparticles-based biosensor (nbs) assay (rt-lamp-nbs) was successfully 36 established for rapidly and accurately diagnosing covid-19. a simple equipment 37 (such as heating block) was required for maintaining a constant temperature (63°c) 38 for only 40 min. using two designed lamp primer sets, f1ab (opening reading frame 39 1a/b) and np (nucleoprotein) genes of sars-cov-2 were simultaneously amplified 40 and detected in a 'one-step' and 'single-tube' reaction, and the detection results were 41 easily interpreted by nbs. the sensitivity of sars-cov-2 rt-lamp-nbs was 12 42 copies (each of detection target) per reaction, and no cross-reactivity was generated 43 from non-sars-cov-2 templates. among clinically diagnosed covid-19 patients, 44 the analytical sensitivity of sars-cov-2 was 100% (33/33) in the oropharynx swab 45 samples, and the assay's specificity was also 100% (96/96) when analyzed the clinical 46 samples collected from non-covid-19 patients. the total diagnosis test from sample 47 collection to result interpretation only takes approximately 1 h. in sum, the 48 rt-lamp-nbs is a promising tool for diagnosing the current sars-cov-2 49 infection in first line field, public health and clinical laboratories, especially for 50 resource-challenged regions.51","Xiong Zhu, Xiaoxia Wang, Limei Han, Ting Chen, Licheng Wang, Huan Li, Sha Li, Lvfen He, Xiaoying Fu, Shaojin Chen, Mei Xing, Hai Chen, Yi ,  Wang, Yi Wang"
212,Spike protein binding prediction with neutralizing antibodies of SARS-CoV-2 1 2,"abstractcoronavirus disease 2019 (covid-19) is a new emerging human infectious disease caused by severe acute 24 respiratory syndrome coronavirus 2 (sars-cov-2, also previously known as 2019-ncov), originated in 25 wuhan seafood and animal market, china. since december 2019, more than 69,000 cases of covid-19 have 26 been confirmed in china and quickly spreads to other counties. currently, researchers put their best efforts to 27 identify effective drugs for covid-19. the neutralizing antibody, which binds to viral capsid in a manner that 28 inhibits cellular entry of virus and uncoating of the genome, is the specific defense against viral invaders. in this 29 study, we investigate to identify neutralizing antibodies that can bind to sars-cov-2 sipke (s) protein and 30 interfere with the interaction between viral s protein and a host receptor by bioinformatic methods. the 31 sequence analysis of s protein showed two major differences in the rbd region of the sars-cov-2 s protein 32 compared to sars-cov and sars-cov related bat viruses (btsars-cov). the insertion regions were close to 33 interacting residues with the human ace2 receptor. epitope analysis of neutralizing antibodies revealed that 34 sars-cov neutralizing antibodies used conformational epitopes, whereas mers-cov neutralizing antibodies 35 used a common linear epitope region, which contributes to form the β-sheet structure in mers-cov s protein 36 and deleted in sars-cov-2 s protein. to identify effective neutralizing antibodies for sars-cov-2, the 37 binding affinities of neutralizing antibodies with sars-cov-2 s protein were predicted and compared by 38 antibody-antigen docking simulation. the result showed that cr3022 neutralizing antibody from human may 39 have higher binding affinity with sars-cov-2 s protein than sars-cov s protein. we also found that 40 f26g19 and d12 mouse antibodies could bind to sars-cov s protein with high affinity. our findings provide 41 crucial clues towards the development of antigen diagnosis, therapeutic antibody, and the vaccine against sars-42 cov-2. 43 44 45"," Republic,  Korea"
51,COVID-19 Vaccine Candidates: Prediction and Validation of 174 SARS-CoV-2 Epitopes,"abstractthe recent outbreak of sars-cov-2 (2019-ncov) virus has highlighted the need for fast and efficacious vaccine development. stimulation of a proper immune response that leads to protection is highly dependent on presentation of epitopes to circulating t-cells via the hla complex. sars-cov-2 is a large rna virus and testing of all overlapping peptides in vitro to deconvolute an immune response is not feasible. therefore hla-binding prediction tools are often used to narrow down the number of peptides to test. we tested 15 epitope-hla-binding prediction tools, and using an in vitro peptide mhc stability assay, we assessed 777 peptides that were predicted to be good binders across 11 mhc allotypes. in this investigation of potential sars-cov-2 epitopes we found that current prediction tools vary in performance when assessing binding stability, and they are highly dependent on the mhc allotype in question. designing a covid-19 vaccine where only a few epitope targets are included is therefore a very challenging task. here, we present 174 sars-cov-2 epitopes with high prediction binding scores, validated to bind stably to 11 hla allotypes. our findings may contribute to the design of an efficacious vaccine against covid-19.","Marek Prachar, Sune Justesen, Daniel Bisgaard Steen-Jensen, Stephan Thorgrimsen, Erik Jurgons, Ole Winther, Frederik Otzen Bagger"
285,Effect of SARS-CoV-2 infection upon male gonadal function: A single center- based study,"abstractmedrxiv preprint funding information: health commission of hubei province scientific research project (no. wj2019q048 to m.z.)we declare no conflict of interest.abstract: since sars-cov-2 infection was first identified in december 2019, it spread rapidly and a global pandemic of covid-19 has occurred. ace2, the receptor for entry into the target cells by sars-cov-2, was found to abundantly express in testes, including spermatogonia, leydig and sertoli cells. however, there is no clinical evidence about whether sars-cov-2 infection can affect male gonadal function so far.in this study, we compared the sex-related hormones between 81 reproductive-aged men with sars-cov-2 infection and 100 age-matched healthy men, and found that serum luteinizing hormone (lh) was significantly increased, but the ratio of testosterone (t) to lh and the ratio of follicle stimulating hormone (fsh) to lh were dramatically decreased in males with covid-19. besides, multivariable regression analysis indicated that c-reactive protein (crp) level was significantly associated with serum t:lh ratio in covid-19 patients. this study provides the first direct evidence about the influence of medical condition of covid-19 on male sex hormones, alerting more attention to gonadal function evaluation among patients recovered from sars-cov-2 infection, especially the reproductive-aged men.","Ling Ma, Wen Xie, Danyang Li, Lei Shi, Yanhong Mao, Yao Xiong, Yuanzhen Zhang, Ming Zhang"
149,A B,"abstractthe spread of the novel coronavirus (sars-cov-2) has triggered a global emergency, that demands urgent solutions for detection and therapy to prevent escalating health, social and economic impacts. the spike protein (s) of this virus enables binding to the human receptor ace2, and hence presents a prime target for vaccines preventing viral entry into host cells 1 . the s proteins from sars-cov-1 and sars-cov-2 are similar 2 , but structural differences in the receptor binding domain (rbd) preclude the use of sars-cov-1-specific neutralizing antibodies to inhibit sars-cov-2 3 . here we used comparative pangenomic analysis of all sequenced betacoronaviruses to reveal that, among all core gene clusters present in these viruses, the envelope protein e shows a variant shared by sars and sars-cov2 with two completely-conserved key functional features, an ion-channel and a pdz-binding motif (pbm). these features trigger a cytokine storm that activates the inflammasome, leading to increased edema in lungs causing the acute respiratory distress syndrome (ards) 4-6 , the leading cause of death in sars-cov-1 and sars-cov-2 infection 7,8 . however, three drugs approved for human use may inhibit sars-cov-1 and sars-cov-2 protein e, either acting upon the ion channel (amantadine and hexamethylene amiloride 9,10 ) or the pbm (sb203580 5 ), thereby potentially increasing the survival of the host, as already demonstrated for sars-cov-1in animal models. hence, blocking the sars protein e inhibits development of ards in vivo. given that our results demonstrate that the protein e subcluster for the sars clade is quasi-identical for the key functional regions of sars-cov-1 and sars-cov-2, we conclude that use of approved drugs shown to act as sars e protein inhibitors can help prevent further casualties from covid-2019 while vaccines and other preventive measures are being developed.","Intikhab Alam, Allan Kamau, Maxat Kulmanov, Stefan T Arold, Arnab Pain, Takashi Gojobori, Carlos M Duarte,  Clade"
1019,"COMPARATIVE PATHOGENESIS OF COVID-19, MERS AND SARS IN A NON-HUMAN PRIMATE MODEL","abstracta novel coronavirus, sars-cov-2, was recently identified in patients with an acute respiratory syndrome, covid-19. to compare its pathogenesis with that of previously emerging coronaviruses, we inoculated cynomolgus macaques with sars-cov-2 or mers-cov and compared with historical sars-cov infections. in sars-cov-2-infected macaques, virus was 5 excreted from nose and throat in absence of clinical signs, and detected in type i and ii pneumocytes in foci of diffuse alveolar damage and mucous glands of the nasal cavity. in sars-cov-infection, lung lesions were typically more severe, while they were milder in mers-cov infection, where virus was detected mainly in type ii pneumocytes. these data show that sars-cov-2 can cause a covid-19-like disease, and suggest that the severity of sars-cov-2 infection 10 is intermediate between that of sars-cov and mers-cov.","Barry Rockx, Thijs Kuiken, Sander Herfst, Theo Bestebroer, Mart M Lamers, Dennis De 5 Meulder, Geert Van Amerongen, Judith Van Den Brand, † Nisreen, M A Okba, Debby Schipper, Peter Van Run, Lonneke Leijten, Ernst Verschoor, Babs Verstrepen, Jan Langermans, Christian Drosten, Martje Fentener Van Vlissingen, Ron Fouchier, Rik De Swart, Marion Koopmans, Bart L Haagmans, * Affiliations"
439,"Clinical features and sexual transmission potential of SARS-CoV-2 infected female patients: a descriptive study in Wuhan, China","abstractbackground: as of march 2, 2020, sars-cov-2 has infected more than 80174 people and caused 2915 deaths in china. this virus rapidly spreads to 56 countries worldwide. thus, in order to effectively block its transmission, it is urgent to uncover all the possible transmission routes of sars-cov-2. methods: from january 28 to february 18, 2020, 35 female patients diagnosed with covid-19 in tongji hospital were included in this descriptive study. the gynecologic history, clinical characteristics, laboratory findings and chest computed tomography (ct) of all patients were recorded in detail. to examine whether there is sexual transmission through vaginal from female to her partner, we employed realtime polymerase chain reaction testing (rt-pcr) to detect sars-cov-2 in vaginal environment (including vaginal discharge, cervical or vaginal residual exfoliated cells) and anal swab samples, and inquired recent sexual behaviors from the patients. findings: the age range of the 35 patients with covid-19 was 37-88 years. over 50% patients infected with sars-cov-2 had chronic diseases. we tested the vaginal environment and anal swabs from the 35 female patients with covid-19 and found that only an anal swab sample from one patient was positive for sars-cov-2. all the samples from vaginal environment were negative for sars-cov-2. the infection rate of the patients' sexual partner was 42·9%. additionally, two female patients admitted having sex with their partners during a possible infection incubation period, while one patient's partner was uninfected and the other patient's partner was diagnosed with covid-19 (after the diagnosis of the female patient). conclusion: no positive rt-pcr result was found in the vaginal environment perhaps due to the lack of ace2 expression, which is the receptor of sars-cov-2, in the vagina and cervix tissues (human protein atlas). the results from this study show no evidence of transmission of sars-cov-2 through vaginal sex from female to her partner. however, the risk of infection of non vaginal sex and other intimate contacts during vaginal sex should not be ignored.","Pengfei Cui, Zhe Chen, Tian Wang, Jun Dai, Jinjin Zhang, Ting Ding, Jingjing Jiang, Jia Liu, Cong Zhang, Wanying Shan, Sheng Wang, Yueguang Rong, Jiang Chang, Xiaoping Miao, Ma + , Shixuan Wang, Xiangyi Ma, Phd ) , ) , Prof Xiangyi Ma"
300,Active or latent tuberculosis increases susceptibility to COVID-19 and disease severity,"abstractmedrxiv preprint sars-cov-2 infection. patients with active or latent tb were more susceptible to sars-cov-2, and covid-19 symptom development and progression were more rapid and severe.meaning: tuberculosis status should be assessed carefully at patient admission and management and therapeutic strategies adjusted accordingly to prevent rapid development of severe covid-19 complications.importance: risk factors associated with covid-19, the viral pneumonia originating in wuhan, china, in dec 2019, require clarification so that medical resources can be prioritized for those at highest risk of severe covid-19 complications. infection with m. tuberculosis (mtb), the pathogen that causes tb and latently infects ~25% of the global population, may be a risk factor for sars-cov-2 infection and severe covid-19 pneumonia.objective: to determine if latent or active tb increase susceptibility to sars-cov-19 infection and disease severity, and lead to more rapid development of covid-19 pneumonia.","Yu Chen, Yaguo Wang, Joy Fleming, ; Yanhong, Yu , Ye Gu, Chang Liu, Lichao Fan, ; Xiaodan Wang, Moxin Cheng, Lijun Bi, Yongyu Liu, ( X Wang, M Cheng,  Shenyang, Y Wang, J Fleming, L Bi"
